 Destination Port, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length.1,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
55701,73239322,6,9,12976,56,7300,0,2162.666667,2730.81392,20,0,6.222222222,5.783117191,177.9372015,0.204808013,5231380.143,16900000.0,63100000,1,73200000,14600000.0,32600000.0,73000000,188,73000000,9129991.5,22100000.0,63100000,1,1,0,0,0,132,204,0.081923205,0.122884808,0,7300,900.4375,1902.071221,3617874.929,0,1,0,0,1,1,0,0,1,960.4666667,2162.666667,6.222222222,132,0,0,0,0,0,0,6,12976,9,56,229,256,4,20,32246.0,0.0,32246,32246,36500000.0,37600000.0,63100000,9904584,BENIGN
58049,76512830,7,10,11607,68,5840,0,1658.142857,2127.59774,20,0,6.8,5.006662228,152.5887881,0.222184959,4782051.875,17700000.0,71000000,1,76500000,12800000.0,31200000.0,76500000,11,76500000,8500547.111,23500000.0,71000000,1,0,0,0,0,152,212,0.091487924,0.130697035,0,5840,648.9444444,1511.261665,2283911.82,0,0,0,0,1,1,0,0,1,687.1176471,1658.142857,6.8,152,0,0,0,0,0,0,7,11607,10,68,229,256,5,20,4061.0,0.0,4061,4061,38200000.0,46300000.0,71000000,5499599,BENIGN
62364,4021259,1,6,6,36,6,6,6.0,0.0,6,6,6.0,0.0,10.44449015,1.740748358,670209.8333,1629740.731,3996891,4,0,0.0,0.0,0,0,4009243,801848.6,1786085.896,3996891,4,0,0,0,0,20,120,0.248678337,1.492070021,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,0,6,6.857142857,6.0,6.0,20,0,0,0,0,0,0,1,6,6,36,229,0,0,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
38302,717303,1,5,6,30,6,6,6.0,0.0,6,6,6.0,0.0,50.18799587,8.364665978,143460.6,308374.9553,694959,3,0,0.0,0.0,0,0,699982,174995.5,346646.5317,694959,3,0,0,0,0,20,100,1.394110996,6.970554982,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,0,5,7.0,6.0,6.0,20,0,0,0,0,0,0,1,6,5,30,229,0,0,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
80,5279960,4,2,12,0,6,0,3.0,3.464101615,0,0,0.0,0.0,2.27274449,1.136372245,1055992.0,2335049.343,5233003,62,5279960,1759986.667,3007720.41,5233003,23003,22997,22997.0,0.0,22997,22997,0,0,0,0,104,64,0.757581497,0.378790748,0,6,1.714285714,2.927700219,8.571428571,0,0,0,1,0,0,0,0,0,2.0,3.0,0.0,104,0,0,0,0,0,0,4,12,2,0,8192,29200,2,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,31032,2,2,84,204,42,42,42.0,0.0,102,102,102.0,0.0,9280.742459,128.8992008,10344.0,17874.77913,30984,1,47,47.0,0.0,47,47,1,1.0,0.0,1,1,0,0,0,0,52,40,64.44960041,64.44960041,42,102,66.0,32.86335345,1080.0,0,0,0,0,0,0,0,0,1,82.5,42.0,102.0,52,0,0,0,0,0,0,2,84,2,204,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,63288,2,2,78,110,39,39,39.0,0.0,55,55,55.0,0.0,2970.547339,63.20313488,21096.0,36535.87975,63284,1,1,1.0,0.0,1,1,3,3.0,0.0,3,3,0,0,0,0,40,64,31.60156744,31.60156744,39,55,45.4,8.76356092,76.8,0,0,0,0,0,0,0,0,1,56.75,39.0,55.0,40,0,0,0,0,0,0,2,78,2,110,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,338,2,2,64,340,32,32,32.0,0.0,170,170,170.0,0.0,1195266.272,11834.31953,112.6666667,193.4123402,336,1,1,1.0,0.0,1,1,1,1.0,0.0,1,1,0,0,0,0,40,40,5917.159763,5917.159763,32,170,87.2,75.58571294,5713.2,0,0,0,0,0,0,0,0,1,109.0,32.0,170.0,40,0,0,0,0,0,0,2,64,2,340,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
80,95902959,8,4,56,11601,20,0,7.0,5.656854249,8760,0,2900.25,4128.319301,121.5499513,0.125126483,8718450.818,28500000.0,94800000,78,95900000,13700000.0,35800000.0,94800000,119,35761,11920.33333,19531.38025,34467,188,0,0,0,0,172,92,0.083417656,0.041708828,0,8760,897.1538462,2488.507044,6192667.308,0,0,0,0,1,0,0,0,0,971.9166667,7.0,2900.25,172,0,0,0,0,0,0,8,56,4,11601,256,229,6,20,1080819.0,0.0,1080819,1080819,94800000.0,0.0,94800000,94800000,DDoS
53,50228,1,1,44,72,44,44,44.0,0.0,72,72,72.0,0.0,2309.468822,39.81842797,50228.0,0.0,50228,50228,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,19.90921398,19.90921398,44,72,53.33333333,16.16580754,261.3333333,0,0,0,0,0,0,0,0,1,80.0,44.0,72.0,20,0,0,0,0,0,0,1,44,1,72,-1,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
