 Destination Port, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length.1,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
5679,26,1,1,2,6,2,2,2.0,0.0,6,6,6.0,0.0,307692.3077,76923.07692,26.0,0.0,26,26,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,24,20,38461.53846,38461.53846,2,6,3.333333333,2.309401077,5.333333333,0,0,0,1,0,0,0,0,1,5.0,2.0,6.0,24,0,0,0,0,0,0,1,2,1,6,1024,0,0,24,0.0,0.0,0,0,0.0,0.0,0,0,PortScan
443,54221,1,2,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,55.32911603,27110.5,34671.5668,51627,2594,0,0.0,0.0,0,0,2594,2594.0,0.0,2594,2594,0,0,0,0,32,64,18.44303868,36.88607735,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,2,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,2,0,365,246,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,137009,2,2,84,160,42,42,42.0,0.0,80,80,80.0,0.0,1780.904904,29.19516236,45669.66667,79097.85292,137004,1,1,1.0,0.0,1,1,4,4.0,0.0,4,4,0,0,0,0,64,64,14.59758118,14.59758118,42,80,57.2,20.81345719,433.2,0,0,0,0,0,0,0,0,1,71.5,42.0,80.0,64,0,0,0,0,0,0,2,84,2,160,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
1148,48,1,1,2,6,2,2,2.0,0.0,6,6,6.0,0.0,166666.6667,41666.66667,48.0,0.0,48,48,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,24,20,20833.33333,20833.33333,2,6,3.333333333,2.309401077,5.333333333,0,0,0,1,0,0,0,0,1,5.0,2.0,6.0,24,0,0,0,0,0,0,1,2,1,6,1024,0,0,24,0.0,0.0,0,0,0.0,0.0,0,0,PortScan
53,24529,2,2,76,200,38,38,38.0,0.0,100,100,100.0,0.0,11251.98744,163.0722818,8176.333333,14117.67539,24478,3,3,3.0,0.0,3,3,48,48.0,0.0,48,48,0,0,0,0,64,40,81.53614089,81.53614089,38,100,62.8,33.95879857,1153.2,0,0,0,0,0,0,0,0,1,78.5,38.0,100.0,64,0,0,0,0,0,0,2,76,2,200,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,78870,4,4,120,528,30,30,30.0,0.0,132,132,132.0,0.0,8216.051731,101.4327374,11267.14286,19610.13981,46589,4,78668,26222.66667,45373.09721,78615,4,32277,10759.0,18628.20644,32269,4,0,0,0,0,80,80,50.71636871,50.71636871,30,132,75.33333333,53.75872022,2890.0,0,0,0,0,0,0,0,0,1,84.75,30.0,132.0,80,0,0,0,0,0,0,4,120,4,528,-1,-1,3,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,23710,1,1,50,105,50,50,50.0,0.0,105,105,105.0,0.0,6537.326023,84.35259384,23710.0,0.0,23710,23710,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,40,20,42.17629692,42.17629692,50,105,68.33333333,31.75426481,1008.333333,0,0,0,0,0,0,0,0,1,102.5,50.0,105.0,40,0,0,0,0,0,0,1,50,1,105,-1,-1,0,40,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
1044,11,1,1,2,6,2,2,2.0,0.0,6,6,6.0,0.0,727272.7273,181818.1818,11.0,0.0,11,11,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,24,20,90909.09091,90909.09091,2,6,3.333333333,2.309401077,5.333333333,0,0,0,1,0,0,0,0,1,5.0,2.0,6.0,24,0,0,0,0,0,0,1,2,1,6,1024,0,0,24,0.0,0.0,0,0,0.0,0.0,0,0,PortScan
41924,53,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,37735.84906,53.0,0.0,53,53,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,18867.92453,18867.92453,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,512,316,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,81954,4,4,144,656,36,36,36.0,0.0,164,164,164.0,0.0,9761.573566,97.61573566,11707.71429,20741.4106,50964,1,81731,27243.66667,47183.08475,81726,1,51236,17078.66667,29538.6925,51187,1,0,0,0,0,104,104,48.80786783,48.80786783,36,164,92.88888889,67.46192342,4551.111111,0,0,0,0,0,0,0,0,1,104.5,36.0,164.0,104,0,0,0,0,0,0,4,144,4,656,-1,-1,3,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
5080,77,1,1,2,6,2,2,2.0,0.0,6,6,6.0,0.0,103896.1039,25974.02597,77.0,0.0,77,77,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,24,20,12987.01299,12987.01299,2,6,3.333333333,2.309401077,5.333333333,0,0,0,1,0,0,0,0,1,5.0,2.0,6.0,24,0,0,0,0,0,0,1,2,1,6,1024,0,0,24,0.0,0.0,0,0,0.0,0.0,0,0,PortScan
443,128,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,15625.0,128.0,0.0,128,128,128,128.0,0.0,128,128,0,0.0,0.0,0,0,0,0,0,0,64,0,15625.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,426,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
